,NID,Quarter,Herd,Lact,M_Sys,HWI,ABV_M_Resist,PI-M,Gest,DIM,AbCode,DCC,Ab_RxStat,TBred,Lact_xLame,Life_xLame,Lact_xMetabolic,Life_xMetabolic,Lact_xmast,Lact_qxmast,Life_xmast,TLSCC,TL150SCC,TL200SCC,TL_mean_logSCC,TL_sd_logSCC,LIFESCC,LIFE150SCC,LIFE200SCC,Outcome_Mean_logSCC_next_lact,Outcome_Std_logSCC_next_lact,Outcome_Count_logSCC_next_lact,Outcome_Next_Lact_max_xmast,Outcome_failure_T,Outcome_failure_D,Outcome_Lact_mast_reoccur,Outcome_Recurred,Pregnant,Outcome_Sold,Outcome_num_tests_30to60,Outcome_num_tests_30to60_SCC<200,Outcome_num_tests_60to90,Outcome_num_tests_60to90_SCC<200,Outcome_num_tests_after90,Outcome_num_tests_after90_SCC<200,Outcome_num_tests_30to100,Outcome_30to100_mean_logSCC,Outcome_30to100_sd_mean_logSCC,Outcome_num_tests_30to150,Outcome_30to150_mean_logSCC,Outcome_30to150_sd_mean_logSCC,DSLB,Outcome_Failure,pre_num_tests_0to30,pre_num_tests_0to30_max,pre_num_tests_0to30_logmean,pre_num_tests_0to30_SCC>150,pre_num_tests_0to30_SCC>200,pre_num_tests_0to30_SCC>1000,pre_num_tests_31to60,pre_num_tests_31to60_max,pre_num_tests_31to60_logmean,pre_num_tests_31to60_SCC>150,pre_num_tests_31to60_SCC>200,pre_num_tests_31to60_SCC>1000,pre_num_tests_61to90,pre_num_tests_61to90_max,pre_num_tests_61to90_logmean,pre_num_tests_61to90_SCC>150,pre_num_tests_61to90_SCC>200,pre_num_tests_61to90_SCC>1000,pre_num_tests_g90,pre_num_tests_g90_max,pre_num_tests_g90_logmean,pre_num_tests_g90_SCC>150,pre_num_tests_g90_SCC>200,pre_num_tests_g90_SCC>1000,prelact_SCC_count,prelact_SCC_max,prelact_logSCC_mean,prelact_SCC>150,prelact_SCC>200,prelact_SCC>1000,Rx_Year,Rx_Month,Prev_AllRxCodes,Outcome_Sold100,Outcome_Rec100,Outcome_Shortloss,Outcome_Longloss,pre_herd_mast_percent,pre_herd_fresh_mast_percent,pre_herd_greater14day_mast_percent,pre_herd_SCC_percent_g150,pre_herd_SCC__DIM_less31_percent_g150,pre_herd_SCC__DIM_more30_percent_g150,pre_herd_SCC_percent_g200,pre_herd_SCC__DIM_less31_percent_g200,pre_herd_SCC__DIM_more30_percent_g200
451,216019320,22,2G0064V,3,,,,0,620.0,23,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,9,9999999,0,1.0,,0.0,4.44743935309973,6.451612903225806,4.264705882352941,,,,,,
452,216019320,22,2G0064V,3,,,,0,620.0,40,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,2,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,10,47115,0,0.0,0.0,0.0,6.132665832290362,17.391304347826086,5.444887118193891,,,,,,
453,216019334,11,2G0064V,3,,,,0,620.0,54,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,10,9999999,0,0.0,0.0,0.0,5.249679897567221,10.714285714285714,4.827586206896552,,,,,,
454,216019334,12,2G0064V,3,,,,0,620.0,54,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,10,47115,0,0.0,0.0,0.0,5.249679897567221,10.714285714285714,4.827586206896552,,,,,,
455,216019353,22,2G0064V,3,,,,0,596.0,58,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,9,9999999,0,0.0,0.0,0.0,4.1208791208791204,1.8867924528301887,4.296296296296296,,,,,,
456,216019363,21,2G0064V,3,,,,0,280.0,8,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,8,9999999,0,1.0,,0.0,4.241435562805873,5.47945205479452,4.074074074074074,,,,,,
457,216019363,22,2G0064V,3,,,,0,280.0,85,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,1,2,,,,,,,,,,,,,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,11,49851,0,0.0,0.0,0.0,6.056860321384425,0.0,6.064356435643564,,,,,,
458,216019363,21,2G0064V,3,,,,0,280.0,249,0,152.0,0,0.0,0.0,0.0,0.0,0.0,3,2,3,,,,,,,,,,,,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,4,47115,0,0.0,0.0,0.0,1.0033444816053512,,1.0033444816053512,,,,,,
460,216019455,11,2G0064V,3,,,,0,282.0,183,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,10,9999999,0,0.0,0.0,0.0,4.539559014267185,11.29032258064516,3.9492242595204514,,,,,,
461,216019455,22,2G0064V,3,,,,0,282.0,190,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,10,47115,0,0.0,0.0,0.0,5.157232704402516,14.285714285714285,4.465493910690121,,,,,,
462,216019455,99,2G0064V,3,,,,0,282.0,191,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,,,,,,,,,,,,,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,10,"47115, 49851",0,0.0,0.0,0.0,5.660377358490567,15.09433962264151,4.986522911051213,,,,,,
463,216019462,21,2G0064V,4,,,,0,274.0,57,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,11,9999999,0,0.0,0.0,0.0,5.315203955500618,,5.315203955500618,,,,,,
464,216019469,12,2G0064V,2,,,,0,,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,8,9999999,0,0.0,0.0,0.0,3.606557377049181,8.108108108108109,1.0309278350515463,,,,,,
465,296030502,12,2G0064V,7,,,,0,,379,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,9.131261217146879,0.11169338483282738,2.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,10,9999999,0,0.0,0.0,1.0,13.333333333333334,0.0,14.814814814814813,,,,,,
466,296030502,22,2G0064V,8,,,,0,,38,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,,,,,,,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,2,9.131261217146879,0.11169338483282738,2.0,9.131261217146879,0.11169338483282738,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,11,46337,0,0.0,0.0,0.0,1.0752688172043012,0.0,1.0869565217391304,10.655737704918032,20.0,5.194805194805195,8.19672131147541,15.555555555555555,3.896103896103896
467,296030502,22,2G0064V,11,,,,0,273.0,323,0,224.0,0,0.0,0.0,0.0,0.0,0.0,1,1,3,,,,,,3.0,2.0,2.0,5.605802066295998,99.0,1.0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9999.0,7.3000361980067145,2.0,2.0,2.0,2010,1,46337,0,0.0,0.0,1.0,0.7317073170731708,,0.7317073170731708,,,,,,
468,296030502,21,2G0064V,12,,,,0,274.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,4,,,,,,3.0,2.0,2.0,5.517452896464707,99.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9999.0,7.3000361980067145,2.0,2.0,2.0,2010,3,59528,0,0.0,0.0,0.0,3.0136986301369864,31.25,1.7191977077363898,,,,,,
469,296030502,22,2G0064V,16,,,,0,279.0,184,0,78.0,0,0.0,0.0,0.0,0.0,0.0,1,1,5,,,,,,5.0,4.0,4.0,,,,,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9999.0,6.60467271135617,4.0,4.0,2.0,2015,2,58491,0,1.0,,0.0,2.4498886414253898,0.0,2.48868778280543,46.464646464646464,73.33333333333333,45.40682414698163,39.141414141414145,46.666666666666664,38.84514435695538
470,296030502,22,2G0064V,16,,,,0,279.0,197,0,91.0,0,0.0,0.0,0.0,0.0,0.0,2,2,6,,,,,,5.0,4.0,4.0,,,,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9999.0,6.60467271135617,4.0,4.0,2.0,2015,2,38696,0,0.0,0.0,0.0,2.0531400966183577,0.0,2.08078335373317,46.464646464646464,73.33333333333333,45.40682414698163,39.141414141414145,46.666666666666664,38.84514435695538
471,298014816,21,2G0064V,12,,,,0,282.0,13,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,7.0,4.0,3.0,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,409.0,5.124652890311722,4.0,3.0,0.0,2011,10,9999999,0,0.0,0.0,0.0,9.812568908489526,8.51063829787234,10.052219321148826,29.772727272727273,18.58407079646018,33.63914373088685,22.5,15.04424778761062,25.076452599388375
472,298014833,21,2G0064V,10,,,,80,286.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,3.0,1.0,1.0,6.148468295917647,99.0,1.0,1,1,0,2,1,0,0,0.0,0.0,1.0,1.0,1.0,0.0,1,4.406719247264253,99.0,1.0,4.406719247264253,99.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,246.0,4.137362104860306,1.0,1.0,0.0,2010,8,9999999,0,1.0,0.0,1.0,10.638297872340425,14.507772020725387,8.62533692722372,,,,,,
473,298014833,11,2G0064V,10,,,,80,286.0,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,3.0,1.0,1.0,6.148468295917647,99.0,1.0,1,1,0,2,1,0,0,1.0,1.0,0.0,0.0,1.0,0.0,1,4.406719247264253,99.0,1.0,4.406719247264253,99.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,246.0,4.137362104860306,1.0,1.0,0.0,2010,8,58491,0,,0.0,1.0,13.120000000000001,19.101123595505616,10.738255033557047,,,,,,
474,298014833,21,2G0064V,10,,,,80,286.0,15,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,2,,,,,,3.0,1.0,1.0,6.148468295917647,99.0,1.0,1,0,0,1,1,0,0,1.0,1.0,0.0,0.0,1.0,0.0,1,4.406719247264253,99.0,2.0,5.837122337546212,2.022895449937134,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,246.0,4.137362104860306,1.0,1.0,0.0,2010,9,58491,0,0.0,0.0,1.0,15.758468335787922,15.254237288135593,15.86452762923351,,,,,,
475,298014833,21,2G0064V,10,,,,80,286.0,163,0,56.0,0,0.0,0.0,0.0,0.0,0.0,3,3,3,2.0,1.0,1.0,5.837122337546212,2.022895449937134,5.0,2.0,2.0,6.148468295917647,99.0,1.0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,1.0,1433.0,7.267525427828172,1.0,1.0,1.0,,,,,,,,,,,,,1.0,82.0,4.406719247264253,0.0,0.0,0.0,3.0,246.0,4.137362104860306,1.0,1.0,0.0,2011,2,59528,0,0.0,0.0,1.0,2.356902356902357,0.0,2.3728813559322033,43.58108108108108,,43.58108108108108,32.432432432432435,,32.432432432432435
476,298014833,11,2G0064V,11,,,,76,282.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,4,,,,,,5.0,2.0,2.0,,,,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1433.0,4.817266197934669,2.0,2.0,1.0,2011,9,59528,0,0.0,0.0,,13.667117726657645,9.90990990990991,14.331210191082802,,,,,,
477,298014833,12,2G0064V,11,,,,76,282.0,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,4,,,,,,5.0,2.0,2.0,,,,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1433.0,4.817266197934669,2.0,2.0,1.0,2011,9,58491,0,0.0,0.0,,13.186813186813188,9.473684210526317,13.744075829383887,,,,,,
478,298014833,21,2G0064V,12,,,,0,288.0,398,0,295.0,0,0.0,0.0,0.0,0.0,0.0,1,1,5,,,,,,6.0,3.0,3.0,7.4484169068012065,0.6828309727111935,4.0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1433.0,5.039133214265164,3.0,3.0,1.0,2013,9,58491,0,0.0,0.0,1.0,1.7142857142857144,3.7037037037037033,1.5479876160990713,,,,,,
479,298014833,22,2G0064V,13,,,,54,648.0,227,0,159.0,0,0.0,0.0,0.0,0.0,0.0,1,1,6,4.0,4.0,4.0,7.4484169068012065,0.6828309727111935,10.0,7.0,7.0,,,,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,1.0,1569.0,7.358193752733032,1.0,1.0,1.0,,,,,,,2.0,2305.0,7.1440928078825845,2.0,2.0,1.0,6.0,1433.0,5.039133214265164,3.0,3.0,1.0,2015,4,59528,0,0.0,0.0,0.0,3.0235162374020157,24.242424242424242,2.2093023255813953,35.82089552238806,16.666666666666664,40.0,26.865671641791046,8.333333333333332,30.909090909090907
480,298014835,99,2G0064V,6,8.0,-85.0,101.355,110,274.0,87,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,2.0,0.0,0.0,4.048560965459355,0.34209610503681265,3.0,1.0,1.0,,,,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1,5.0106352940962555,99.0,1.0,5.0106352940962555,99.0,,0,1.0,45.0,3.8066624897703196,0.0,0.0,0.0,,,,,,,1.0,73.0,4.290459441148391,0.0,0.0,0.0,,,,,,,1.0,698.0,6.548219102762372,1.0,1.0,0.0,2007,11,9999999,0,0.0,0.0,0.0,1.9138755980861244,0.0,1.932367149758454,33.557046979865774,28.57142857142857,33.80281690140845,24.832214765100673,14.285714285714285,25.352112676056336
483,298014860,21,2G0064V,10,,,,0,,74,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,3,,,,,,4.0,2.0,2.0,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2054.0,5.665738808582022,2.0,2.0,1.0,2011,5,59528,0,0.0,0.0,0.0,2.3529411764705883,15.789473684210526,2.074235807860262,44.03669724770643,40.0,44.680851063829785,33.02752293577982,40.0,31.914893617021278
484,298014874,99,2G0064V,7,5.0,-196.0,101.759,119,,93,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,2.0,0.0,0.0,3.9415346756528766,0.013730660187219282,2.0,0.0,0.0,,,,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,2.0,1.0,1,3.6109179126442243,99.0,2.0,4.049777141188182,0.6206406729794588,,0,1.0,52.0,3.9512437185814275,0.0,0.0,0.0,,,,,,,1.0,51.0,3.9318256327243257,0.0,0.0,0.0,,,,,,,,,,,,,2007,11,9999999,0,0.0,0.0,0.0,1.9138755980861244,0.0,1.932367149758454,33.557046979865774,28.57142857142857,33.80281690140845,24.832214765100673,14.285714285714285,25.352112676056336
485,298014908,12,2G0064V,11,,,,93,281.0,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,6.0,5.0,5.0,,,,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,7.10085190894405,99.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,6.0,547.0,5.499057490695122,5.0,5.0,0.0,2010,9,9999999,0,0.0,0.0,,15.889212827988338,23.853211009174313,14.384748700173311,,,,,,
486,298014908,300,2G0064V,12,,,,0,289.0,3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,7.0,6.0,6.0,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1213.0,5.727885264730683,6.0,6.0,1.0,2011,10,"59528, 58491",0,0.0,0.0,0.0,9.863945578231291,5.970149253731343,10.56149732620321,29.772727272727273,18.58407079646018,33.63914373088685,22.5,15.04424778761062,25.076452599388375
488,298014954,99,2G0064V,7,5.0,-23.0,103.145,88,,231,0,150.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,2.0,2.0,2.0,7.669868136956197,1.3126269850596648,2.0,2.0,2.0,4.804021044733257,99.0,1.0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1,6.049733455231958,99.0,1.0,6.049733455231958,99.0,,0,1.0,5421.0,8.598035579260339,1.0,1.0,1.0,,,,,,,,,,,,,1.0,847.0,6.741700694652055,1.0,1.0,0.0,,,,,,,2007,11,9999999,0,0.0,0.0,0.0,2.631578947368421,0.0,2.6506024096385543,33.557046979865774,28.57142857142857,33.80281690140845,24.832214765100673,14.285714285714285,25.352112676056336
489,298014954,12,2G0064V,9,5.0,-23.0,103.145,106,274.0,89,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,4.0,3.0,3.0,,,,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5421.0,6.5483726934694015,3.0,3.0,1.0,2010,6,58491,0,1.0,,0.0,2.526002971768202,0.0,2.533532041728763,,,,,,
490,298014954,12,2G0064V,9,5.0,-23.0,103.145,106,274.0,151,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,3,,,,,,4.0,3.0,3.0,,,,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5421.0,6.5483726934694015,3.0,3.0,1.0,2010,8,58491,0,0.0,0.0,0.0,8.736059479553903,10.152284263959391,7.9178885630498534,,,,,,
491,298014954,22,2G0064V,9,5.0,-23.0,103.145,106,274.0,324,0,36.0,0,0.0,0.0,0.0,0.0,0.0,3,1,4,1.0,1.0,1.0,7.425357887027151,99.0,5.0,4.0,4.0,,,,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,1.0,1678.0,7.425357887027151,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,4.0,5421.0,6.5483726934694015,3.0,3.0,1.0,2011,2,"59528, 58491",0,0.0,0.0,0.0,3.841387856257745,0.0,3.870162297128589,43.58108108108108,,43.58108108108108,32.432432432432435,,32.432432432432435
492,298014959,11,2G0064V,6,6.0,-88.0,101.565,113,,13,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,,,,,6.18826412308259,99.0,1.0,2,0,0,0,0,0,0,1.0,1.0,0.0,0.0,2.0,0.0,1,3.367295829986474,99.0,1.0,3.367295829986474,99.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,8,9999999,0,0.0,0.0,1.0,1.9047619047619049,1.5151515151515151,2.564102564102564,,,,,,
493,298014959,11,2G0064V,7,6.0,-88.0,101.565,107,287.0,175,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,,,,,,3.0,2.0,2.0,,,,1,0,0,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1,6.18826412308259,99.0,1.0,6.18826412308259,99.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,384.0,4.9708832540586805,2.0,2.0,0.0,2008,2,46337,0,1.0,1.0,,4.102564102564102,,4.102564102564102,31.25,,31.25,21.09375,,21.09375
494,298014959,22,2G0064V,7,6.0,-88.0,101.565,107,287.0,193,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,1,3,,,,,,3.0,2.0,2.0,,,,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1,6.18826412308259,99.0,1.0,6.18826412308259,99.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,384.0,4.9708832540586805,2.0,2.0,0.0,2008,3,58491,0,0.0,0.0,,4.825737265415549,0.0,4.8517520215633425,,,,,,
495,298014959,21,2G0064V,8,6.0,-88.0,101.565,0,252.0,243,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,4,,,,,,4.0,3.0,3.0,7.114769448366463,99.0,1.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,487.0,5.275228471314658,3.0,3.0,0.0,2009,7,58491,0,0.0,0.0,1.0,2.25,,2.25,,,,,,
496,298014959,11,2G0064V,9,6.0,-88.0,101.565,92,295.0,288,0,240.0,0,0.0,0.0,0.0,0.0,0.0,1,1,5,1.0,1.0,1.0,7.114769448366463,99.0,5.0,4.0,4.0,6.3053286831055155,0.5850381898269572,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,1.0,1230.0,7.114769448366463,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,4.0,487.0,5.275228471314658,3.0,3.0,0.0,2011,2,59528,0,0.0,0.0,0.0,4.630788485607009,,4.630788485607009,40.17094017094017,50.0,40.128755364806864,30.34188034188034,0.0,30.472103004291846
497,298014959,21,2G0064V,9,6.0,-88.0,101.565,92,295.0,289,0,241.0,0,0.0,0.0,0.0,0.0,0.0,1,1,5,1.0,1.0,1.0,7.114769448366463,99.0,5.0,4.0,4.0,6.3053286831055155,0.5850381898269572,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,1.0,1230.0,7.114769448366463,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,4.0,487.0,5.275228471314658,3.0,3.0,0.0,2011,2,59528,0,0.0,0.0,0.0,4.755944931163955,,4.755944931163955,40.17094017094017,50.0,40.128755364806864,30.34188034188034,0.0,30.472103004291846
498,299003171,99,2G0064V,5,,,,92,,51,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,1,1.0,0.0,0.0,4.672828834461906,99.0,1.0,0.0,0.0,,,,2,0,0,3,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1,5.631211781821365,99.0,1.0,5.631211781821365,99.0,,0,1.0,107.0,4.672828834461906,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2007,11,9999999,0,1.0,1.0,,2.631578947368421,0.0,2.6506024096385543,33.557046979865774,28.57142857142857,33.80281690140845,24.832214765100673,14.285714285714285,25.352112676056336
499,299003171,21,2G0064V,5,,,,92,,74,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,1,2,1.0,0.0,0.0,4.672828834461906,99.0,1.0,0.0,0.0,,,,2,0,0,2,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1,5.631211781821365,99.0,1.0,5.631211781821365,99.0,,0,,,,,,,1.0,107.0,4.672828834461906,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2007,12,58491,0,1.0,1.0,,2.5943396226415096,0.0,2.6252983293556085,33.557046979865774,28.57142857142857,33.80281690140845,24.832214765100673,14.285714285714285,25.352112676056336
500,299003171,12,2G0064V,5,,,,92,,137,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,1,3,2.0,1.0,1.0,5.152020308141635,0.6776790810514243,2.0,1.0,1.0,,,,2,0,0,1,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1,6.45833828334479,99.0,1.0,6.45833828334479,99.0,,0,1.0,279.0,5.631211781821365,1.0,1.0,0.0,,,,,,,,,,,,,1.0,107.0,4.672828834461906,0.0,0.0,0.0,,,,,,,2008,2,58491,0,0.0,0.0,,3.2911392405063293,,3.2911392405063293,31.25,,31.25,21.09375,,21.09375
501,299003171,99,2G0064V,5,,,,92,,327,0,23.0,0,0.0,0.0,0.0,0.0,0.0,4,,4,3.0,2.0,2.0,5.587459633209353,0.8935584401110211,3.0,2.0,2.0,,,,2,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,3.0,638.0,5.587459633209353,2.0,2.0,0.0,,,,,,,2008,8,58491,0,0.0,0.0,,10.982658959537572,5.737704918032787,13.839285714285715,,,,,,
502,299003171,99,2G0064V,6,,,,0,285.0,41,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,,5,,,,,,3.0,2.0,2.0,,,,2,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,638.0,5.587459633209353,2.0,2.0,0.0,2009,6,59528,0,0.0,0.0,,4.318936877076411,0.0,4.326123128119801,,,,,,
503,299003171,99,2G0064V,6,,,,0,285.0,157,0,85.0,0,0.0,0.0,0.0,0.0,0.0,2,,6,,,,,,3.0,2.0,2.0,,,,2,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,638.0,5.587459633209353,2.0,2.0,0.0,2009,10,58491,0,0.0,0.0,,8.578745198463508,16.666666666666664,7.525325615050652,,,,,,
